root@gitlab:~/dev/work/repositories/arc_study# python -m arc.run
INFO    | ARC | Task 249 | Failed    | runtime: 0.056s memory: 605.44Mb
INFO    | ARC | Task 248 | Failed    | runtime: 0.561s memory: 505.20Mb
INFO    | ARC | Task 250 | *Passed    | runtime: 0.596s memory: 605.44Mb
INFO    | ARC | Task 234 | Failed    | runtime: 3.777s memory: 661.96Mb
INFO    | ARC | Task 251 | Failed    | runtime: 0.468s memory: 505.20Mb
INFO    | ARC | Task 253 | Failed    | runtime: 0.164s memory: 661.96Mb
INFO    | ARC | Task 254 | Failed    | runtime: 0.577s memory: 505.20Mb
INFO    | ARC | Task 252 | Failed    | runtime: 0.868s memory: 605.44Mb
INFO    | ARC | Task 257 | Failed    | runtime: 0.248s memory: 505.20Mb
INFO    | ARC | Task 259 | Failed    | runtime: 0.507s memory: 505.20Mb
INFO    | ARC | Task 260 | Failed    | runtime: 0.083s memory: 505.20Mb
INFO    | ARC | Task 261 | Failed    | runtime: 0.279s memory: 505.20Mb
INFO    | ARC | Task 262 | Failed    | runtime: 0.042s memory: 505.20Mb
INFO    | ARC | Task 263 | Failed    | runtime: 0.051s memory: 505.20Mb
INFO    | ARC | Task 264 | *Passed    | runtime: 0.453s memory: 505.20Mb
INFO    | ARC | Task 245 | Failed    | runtime: 5.033s memory: 363.74Mb
INFO    | ARC | Task 267 | Failed    | runtime: 0.081s memory: 363.74Mb
INFO    | ARC | Task 268 | Failed    | runtime: 0.109s memory: 363.74Mb
INFO    | ARC | Task 269 | Failed    | runtime: 0.325s memory: 363.74Mb
INFO    | ARC | Task 270 | Failed    | runtime: 0.471s memory: 363.74Mb
INFO    | ARC | Task 258 | Failed    | runtime: 3.861s memory: 605.44Mb
INFO    | ARC | Task 271 | Failed    | runtime: 1.964s memory: 363.74Mb
INFO    | ARC | Task 273 | Failed    | runtime: 0.141s memory: 363.74Mb
INFO    | ARC | Task 274 | Failed    | runtime: 0.366s memory: 363.74Mb
INFO    | ARC | Task 266 | Failed    | runtime: 3.676s memory: 505.20Mb
INFO    | ARC | Task 272 | Failed    | runtime: 1.666s memory: 605.44Mb
INFO    | ARC | Task 277 | *Passed    | runtime: 0.096s memory: 605.44Mb
INFO    | ARC | Task 275 | Failed    | runtime: 0.721s memory: 363.74Mb
INFO    | ARC | Task 278 | Failed    | runtime: 0.333s memory: 605.44Mb
INFO    | ARC | Task 276 | Failed    | runtime: 0.819s memory: 505.20Mb
INFO    | ARC | Task 279 | Failed    | runtime: 0.548s memory: 363.74Mb
